Language;Code;ML;P;Script;Code;MS
Abaza;abq;;N;Cyrillic;Cyrl;
Abkhazian;ab;;N;Cyrillic;Cyrl;
Abron;abr;;N;Latin;Latn;
Achinese;ace;;N;Latin;Latn;
Acoli;ach;;N;Latin;Latn;
Adangme;ada;;N;Latin;Latn;
Adyghe;ady;;N;Cyrillic;Cyrl;
Afar;aa;;N;Latin;Latn;
Afrikaans;af;;N;Latin;Latn;
Aghem;agq;;N;Latin;Latn;
Ainu;ain;;N;Katakana;Kana;
;;;;Latin;Latn;
Akan;ak;;N;Latin;Latn;
Akkadian;akk;O;N;Sumero-Akkadian Cuneiform;Xsux;N
Akoose;bss;;N;Latin;Latn;
Alabama;akz;;N;Latin;Latn;
Albanian;sq;;;Latin;Latn;
;;;;Elbasan;Elba;N
Aleut;ale;;N;Latin;Latn;
Algerian Arabic;arq;;N;Arabic;Arab;
American Sign Language;ase;;?;Unknown Script;Zzzz;n/a
Amharic;am;;;Ethiopic;Ethi;
Amo;amo;;N;Latin;Latn;
Ancient Egyptian;egy;O;N;Egyptian hieroglyphs;Egyp;N
Ancient Greek;grc;O;N;Greek;Grek;
;;;;Cypriot;Cprt;N
;;;;Linear B;Linb;
Ancient North Arabian;xna;O;N;Old North Arabian;Narb;N
Angika;anp;;N;Devanagari;Deva;
Anii;blo;;N;Latin;Latn;
Ao Naga;njo;;N;Latin;Latn;
Arabic;ar;;;Arabic;Arab;
;;;;Syriac;Syrc;
Aragonese;an;;N;Latin;Latn;
Aramaic;arc;O;N;Imperial Aramaic;Armi;N
;;;;Nabataean;Nbat;
;;;;Palmyrene;Palm;
Araona;aro;;N;Latin;Latn;
Arapaho;arp;;N;Latin;Latn;
Arawak;arw;;N;Latin;Latn;
Armenian;hy;;;Armenian;Armn;
Aromanian;rup;;N;Latin;Latn;
Arpitan;frp;;N;Latin;Latn;
Assamese;as;;N;Bangla;Beng;
Assyrian Neo-Aramaic;aii;;N;Cyrillic;Cyrl;
;;;;Syriac;Syrc;
Asturian;ast;;N;Latin;Latn;
Asu;asa;;N;Latin;Latn;
Atikamekw;atj;;N;Latin;Latn;
Atsam;cch;;N;Latin;Latn;
Avaric;av;;N;Cyrillic;Cyrl;
Avestan;ae;O;N;Avestan;Avst;N
Awadhi;awa;;N;Devanagari;Deva;
Aymara;ay;;;Latin;Latn;
Azerbaijani;az;;;Arabic;Arab;
;;;;Cyrillic;Cyrl;
;;;;Latin;Latn;
Badaga;bfq;;N;Tamil;Taml;
Bafia;ksf;;N;Latin;Latn;
Bafut;bfd;;N;Latin;Latn;
Bagheli;bfy;;N;Devanagari;Deva;
Bakhtiari;bqi;;N;Arabic;Arab;
Balinese;ban;;N;Balinese;Bali;
;;;;Latin;Latn;
Balkan Gagauz Turkish;bgx;;N;Greek;Grek;
Balti;bft;;N;Arabic;Arab;
;;;;Tibetan;Tibt;
Baluchi;bal;;N;Arabic;Arab;
;;;;Latin;Latn;
Bambara;bm;;N;Latin;Latn;
;;;;N’Ko;Nkoo;
Bamun;bax;;N;Bamum;Bamu;
Bangla;bn;;;Bangla;Beng;
Banjar;bjn;;N;Latin;Latn;
Bantawa;bap;;N;Devanagari;Deva;
Baoulé;bci;;N;Latin;Latn;
Basaa;bas;;N;Latin;Latn;
Bashkir;ba;;N;Cyrillic;Cyrl;
Basque;eu;;N;Latin;Latn;
Batak Toba;bbc;;N;Batak;Batk;
;;;;Latin;Latn;
Bateri;btv;;N;Devanagari;Deva;
Bavarian;bar;;N;Latin;Latn;
Beja;bej;;N;Arabic;Arab;
Belarusian;be;;;Cyrillic;Cyrl;
Bemba;bem;;N;Latin;Latn;
Bena;bez;;N;Latin;Latn;
Betawi;bew;;N;Latin;Latn;
Bhilali;bhi;;N;Devanagari;Deva;
Bhili;bhb;;N;Devanagari;Deva;
Bhojpuri;bho;;N;Devanagari;Deva;
Bikol;bik;;N;Latin;Latn;
Bini;bin;;N;Latin;Latn;
Bishnupriya;bpy;;N;Bangla;Beng;
Bislama;bi;;;Latin;Latn;
Blin;byn;;N;Ethiopic;Ethi;
Bodo;brx;;N;Devanagari;Deva;
Bomu;bmq;;N;Latin;Latn;
Bosnian;bs;;;Cyrillic;Cyrl;
;;;;Latin;Latn;
Brahui;brh;;N;Arabic;Arab;
;;;;Latin;Latn;
Braj;bra;;N;Devanagari;Deva;
Breton;br;;N;Latin;Latn;
Bube;bvb;;N;Latin;Latn;
Buginese;bug;;N;Latin;Latn;
;;;;Buginese;Bugi;N
Buhid;bku;;N;Latin;Latn;
;;;;Buhid;Buhd;N
Bulgarian;bg;;;Cyrillic;Cyrl;
Bulu;bum;;N;Latin;Latn;
Buriat;bua;;N;Cyrillic;Cyrl;
Burmese;my;;;Myanmar;Mymr;
Bushi;buc;;N;Latin;Latn;
Caddo;cad;;N;Latin;Latn;
Cajun French;frc;;N;Latin;Latn;
Cantonese;yue;;N;Simplified;Hans;
;;;;Traditional;Hant;
Capiznon;cps;;N;Latin;Latn;
Carian;xcr;O;N;Carian;Cari;N
Carib;car;;N;Latin;Latn;
Catalan;ca;;;Latin;Latn;
Cayuga;cay;;N;Latin;Latn;
Cebaara Senoufo;sef;;N;Latin;Latn;
Cebuano;ceb;;N;Latin;Latn;
Central Atlas Tamazight;tzm;;;Latin;Latn;
;;;;Tifinagh;Tfng;
Central Dusun;dtp;;N;Latin;Latn;
Central Huasteca Nahuatl;nch;;N;Latin;Latn;
Central Kurdish;ckb;;N;Arabic;Arab;
Central Mazahua;maz;;N;Latin;Latn;
Central Ojibwa;ojc;;?;Unknown Script;Zzzz;n/a
Central Okinawan;ryu;;N;Katakana;Kana;
Central Yupik;esu;;N;Latin;Latn;
Central-Eastern Niger Fulfulde;fuq;;N;Latin;Latn;
Chadian Arabic;shu;;?;Unknown Script;Zzzz;n/a
Chakma;ccp;;N;Bangla;Beng;
;;;;Chakma;Cakm;
Chamorro;ch;;;Latin;Latn;
Chechen;ce;;N;Cyrillic;Cyrl;
Cherokee;chr;;N;Cherokee;Cher;
Cheyenne;chy;;N;Latin;Latn;
Chhattisgarhi;hne;;N;Devanagari;Deva;
Chickasaw;cic;;N;Latin;Latn;
Chiga;cgg;;N;Latin;Latn;
Chilcotin;clc;;N;Latin;Latn;
Chimborazo Highland Quichua;qug;;N;Latin;Latn;
Chinese;zh;;;Bopomofo;Bopo;
;;;;Simplified;Hans;
;;;;Traditional;Hant;
;;;;Phags-pa;Phag;N
Chinook Jargon;chn;;N;Latin;Latn;
Chipewyan;chp;;N;Latin;Latn;
;;;;Unified Canadian Aboriginal Syllabics;Cans;
Choctaw;cho;;N;Latin;Latn;
Chukot;ckt;;N;Cyrillic;Cyrl;
Church Slavic;cu;O;N;Cyrillic;Cyrl;
Chuukese;chk;;N;Latin;Latn;
Chuvash;cv;;N;Cyrillic;Cyrl;
Classical Mandaic;myz;O;N;Mandaean;Mand;
Colognian;ksh;;N;Latin;Latn;
Comorian;swb;;N;Arabic;Arab;
;;;;Latin;Latn;
Coptic;cop;O;N;Arabic;Arab;
;;;;Greek;Grek;
;;;;Coptic;Copt;N
Cornish;kw;;N;Latin;Latn;
Corsican;co;;N;Latin;Latn;
Cree;cr;;N;Latin;Latn;
;;;;Unified Canadian Aboriginal Syllabics;Cans;
Crimean Tatar;crh;;N;Cyrillic;Cyrl;
Croatian;hr;;;Latin;Latn;
Czech;cs;;;Latin;Latn;
Dakota;dak;;N;Latin;Latn;
Dan;dnj;;N;Latin;Latn;
Dangaura Tharu;thl;;N;Devanagari;Deva;
Danish;da;;;Latin;Latn;
Dargwa;dar;;N;Cyrillic;Cyrl;
Dazaga;dzg;;?;Unknown Script;Zzzz;n/a
Deccan;dcc;;N;Arabic;Arab;
Delaware;del;;N;Latin;Latn;
Dinka;din;;N;Latin;Latn;
Divehi;dv;;;Thaana;Thaa;
Dogri;doi;;N;Arabic;Arab;
;;;;Devanagari;Deva;
;;;;Takri;Takr;N
Dogrib;dgr;;N;Latin;Latn;
Domari;rmt;;N;Arabic;Arab;
Dotyali;dty;;N;Devanagari;Deva;
Duala;dua;;N;Latin;Latn;
Dungan;dng;;N;Cyrillic;Cyrl;
Dutch;nl;;;Latin;Latn;
Dyula;dyu;;N;Latin;Latn;
Dzongkha;dz;;;Tibetan;Tibt;
East Futuna;fud;;N;Latin;Latn;
Eastern Canadian Inuktitut;ike;;?;Unknown Script;Zzzz;n/a
Eastern Cham;cjm;;N;Arabic;Arab;
;;;;Cham;Cham;
Eastern Frisian;frs;;N;Latin;Latn;
Eastern Huasteca Nahuatl;nhe;;N;Latin;Latn;
Eastern Kayah;eky;;N;Kayah Li;Kali;
Eastern Lawa;lwl;;N;Thai;Thai;
Eastern Magar;mgp;;N;Devanagari;Deva;
Eastern Ojibwa;ojg;;?;Unknown Script;Zzzz;n/a
Eastern Tamang;taj;;N;Devanagari;Deva;
;;;;Tibetan;Tibt;
Efik;efi;;N;Latin;Latn;
Egyptian Arabic;arz;;N;Arabic;Arab;
Ekajuk;eka;;N;Latin;Latn;
Embu;ebu;;N;Latin;Latn;
Emilian;egl;;N;Latin;Latn;
English;en;;;Latin;Latn;
;;;;Deseret;Dsrt;N
;;;;Shavian;Shaw;
Erzya;myv;;N;Cyrillic;Cyrl;
Esperanto;eo;O;N;Latin;Latn;
Estonian;et;;;Latin;Latn;
Etruscan;ett;O;N;Latin;Latn;
;;;;Old Italic;Ital;N
Evenki;evn;;N;Cyrillic;Cyrl;
Ewe;ee;;N;Latin;Latn;
Ewondo;ewo;;N;Latin;Latn;
Extremaduran;ext;;N;Latin;Latn;
Fang;fan;;N;Latin;Latn;
Fanti;fat;;?;Unknown Script;Zzzz;n/a
Faroese;fo;;;Latin;Latn;
Fiji Hindi;hif;;;Devanagari;Deva;
;;;;Latin;Latn;
Fijian;fj;;;Latin;Latn;
Filipino;fil;;;Latin;Latn;
;;;;Tagalog;Tglg;N
Finnish;fi;;;Latin;Latn;
Fon;fon;;N;Latin;Latn;
Frafra;gur;;N;Latin;Latn;
French;fr;;;Latin;Latn;
;;;;Duployan shorthand;Dupl;N
Friulian;fur;;N;Latin;Latn;
Fula;ff;;N;Adlam;Adlm;
;;;;Latin;Latn;
Fur;fvr;;N;Latin;Latn;
Ga;gaa;;N;Latin;Latn;
Gagauz;gag;;N;Cyrillic;Cyrl;
;;;;Latin;Latn;
Galician;gl;;N;Latin;Latn;
Gan Chinese;gan;;N;Simplified;Hans;
Ganda;lg;;N;Latin;Latn;
Garhwali;gbm;;N;Devanagari;Deva;
Garo;grt;;N;Bangla;Beng;
Gayo;gay;;N;Latin;Latn;
Gbaya;gba;;N;Latin;Latn;
Geez;gez;O;N;Ethiopic;Ethi;
Georgian;ka;;;Georgian;Geor;
German;de;;;Latin;Latn;
;;;;Runic;Runr;N
Gheg Albanian;aln;;N;Latin;Latn;
Ghomala;bbj;;N;Latin;Latn;
Gilaki;glk;;N;Arabic;Arab;
Gilbertese;gil;;;Latin;Latn;
Goan Konkani;gom;;N;Devanagari;Deva;
Gondi;gon;;N;Devanagari;Deva;
;;;;Telugu;Telu;
Gorontalo;gor;;N;Latin;Latn;
Gothic;got;O;N;Gothic;Goth;N
Grebo;grb;;N;Latin;Latn;
Greek;el;;;Greek;Grek;
Gronings;gos;;N;Latin;Latn;
Guajajára;gub;;N;Latin;Latn;
Guarani;gn;;;Latin;Latn;
Guianese Creole French;gcr;;N;Latin;Latn;
Gujarati;gu;;N;Gujarati;Gujr;
Gujari;gju;;N;Arabic;Arab;
Gurung;gvr;;N;Devanagari;Deva;
Gusii;guz;;N;Latin;Latn;
Gwich?in;gwi;;N;Latin;Latn;
Hadothi;hoj;;N;Devanagari;Deva;
Haida;hai;;N;Latin;Latn;
Haitian Creole;ht;;;Latin;Latn;
Hakka Chinese;hak;;N;Simplified;Hans;
Halkomelem;hur;;N;Latin;Latn;
Hanunoo;hnn;;N;Latin;Latn;
;;;;Hanunoo;Hano;N
Haryanvi;bgc;;N;Devanagari;Deva;
Hausa;ha;;N;Arabic;Arab;
;;;;Latin;Latn;
Hawaiian;haw;;N;Latin;Latn;
Hazaragi;haz;;N;Arabic;Arab;
Hebrew;he;;;Hebrew;Hebr;
Herero;hz;;N;Latin;Latn;
Hiligaynon;hil;;N;Latin;Latn;
Hindi;hi;;;Devanagari;Deva;
;;;;Latin;Latn;
;;;;Mahajani;Mahj;N
Hiri Motu;ho;;;Latin;Latn;
